county,town,name,address,lat,lon,Food,Drinks,Special_services,In_store_services,Other_products
台北市,松山區,松祐,台北市松山區饒河街90號1樓,25.0503249,121.574056,1,1,1,1,1
台北市,松山區,松航,台北市松山區敦化北路340-9號,25.0636811,121.5518476,1,1,1,1,1
台北市,台北市,松德,台北市松山區八德路四段755號1樓,25.050622,121.5774587,1,1,1,1,1
台北市,松山區,松慶,台北市松山區塔悠路31號33號,25.0527543,121.5445966,1,1,1,1,1
台北市,松山區,松機,台北市松山區敦化北路340之10號1樓,25.06368,121.5515936,1,1,1,,1
台北市,松山區,松饒,台北市松山區慈祐里八德路四段767號769號,25.0512264,121.5779994,1,1,1,1,1
台北市,松山區,松觀,台北市松山區敦化北路340之10號3樓,25.0638489,121.5508383,1,,1,,1
台北市,松山區,松鑽,台北市松山區八德路四段686號,25.0498433,121.5767343,1,1,1,1,1
台北市,松山區,南京,台北市松山區南京東路三段303巷5號,25.0524776,121.5466495,1,1,1,1,1
台北市,松山區,威京,台北市松山區八德路四段151號,25.0487976,121.5625674,,1,1,1,1
台北市,松山區,風復,台北市松山區復興南路一段43號,25.0456551,121.5440605,1,1,1,1,1
台北市,松山區,庫德,台北市松山區八德路二段366巷7號1樓,25.0477652,121.5460902,1,1,1,1,1
台北市,松山區,健一,台北市松山區健康路11號,25.0532303,121.5524345,1,1,1,1,1
松山區,松山區,婦聯,台北市松山區健康路224號,25.0538382,121.5610997,1,1,1,1,1
台北市,松山區,清愿,台北市松山區八德路二段439號,25.0483738,121.5469997,1,1,1,1,1
台北市,松山區,統威,台北市松山區東興路13-1號1樓15巷3號1樓,25.0501791,121.565489,1,1,1,1,1
台北市,松山區,通盈,台北市松山區南京東路五段315號,25.0516445,121.5667863,1,1,1,1,1
信義區,松山區,復旦,台北市松山區敦化南路一段5號,25.0470405,121.5492597,1,1,1,1,1
台北市,松山區,復安,台北市松山區民生東路三段130巷2之1號1樓,25.0572853,121.546115,1,1,1,1,1
台北市,松山區,復春,台北市松山區復興北路179號,25.0542551,121.5443875,1,1,1,1,1
台北市,揰北市,復星,台北市松山區復興北路15-6號1樓,25.0484883,121.5442404,1,1,1,1,1
台北市,松山區,復惠,台北市松山區健康路224號��1樓,25.0597458,121.544471,1,1,1,1,1
台北市,松山區,敦化,台北市松山區民權東路三段160巷9號1樓,25.0607534,121.5478694,1,1,1,1,1
台北市,松山區,敦北,台北市松山區敦化北路149號1樓,25.0538743,121.5495559,1,1,1,1,1
台北市,松山區,敦巨,台北市松山區南京東路四段25號25之1號,25.0520645,121.5505797,1,1,1,1,1
台北市,松山區,朝福,台北市松山區三民路115號,25.0582102,121.5632286,1,1,1,1,1
台北市,松山區,塔優,台北市松山區撫遠街197號199號,25.0598769,121.5680486,1,1,1,1,1
台北市,松山區,新育商,台北市松山區寧安街3巷11號1樓,25.048947,121.5549152,1,1,1,1,1
台北市,松山區,新復勢,台北市松山區八德路三段200號202號1樓,25.047914,121.556434,1,1,1,1,1
台北市,松山區,新寶清,台北市松山區南京東路五段334號336號1樓,25.0510894,121.5686879,1,1,1,1,1
台北市,松山區,新饒河,台北市松山區八德路四段697號1樓,25.0501776,121.5764259,1,1,1,1,1
台北市,松山區,福源,台北市松山區新東街60巷16號18號1樓,25.0620438,121.5660849,1,1,1,1,1
台北市,松山區,影城,台北市松山區八德路四段245巷35號,25.0504658,121.5643833,1,1,1,1,1
台北市,松山區,德育,台北市松山區八德路三段171號173號1樓,25.0481733,121.5555924,1,1,1,1,1
台北市,松山區,樂得,台北市松山區復興北路35號,25.0500341,121.5442703,1,1,1,1,1
台北市,松山區,錢京,台北市松山區敦化北路100號1樓,25.0524299,121.5484122,1,1,1,1,1
台北市,台北市,聰明,台北市松山區寶清街34號1樓,25.0527167,121.5677388,1,1,1,1,1
台北市,松山區,寶德,台北市松山區八德路四段295號297號1樓,25.0492173,121.5663337,1,1,1,1,1
台北市,松山區,鑫壽,台北市松山區延壽街323號,25.056823,121.5605679,1,1,1,1,1
台北市,台北市,一零一,台北市信義區信義路五段7號35樓,25.0334688,121.5647672,1,1,1,1,1
台北市,信義區,三興,台北市信義區吳興街156巷2弄2號4號1樓,25.0291736,121.5614917,1,1,1,1,1
台北市,信義區,中興,台北市信義區基隆路二段22號,25.0319447,121.5586568,,,1,1,1
台北市,信義區,仁和,台北市信義區正和里光復南路419巷41號,25.0366194,121.5585051,1,1,1,,1
台北市,信義區,仁信,台北市信義區松仁路130號,25.0336064,121.568058,1,1,1,,1
台北市,信義區,世貿,台北市信義區信義路五段5號1樓,25.0342845,121.5616611,1,1,1,1,1
台北市,信義區,世貿二,台北市信義區信義路五段5號2樓,25.0332591,121.562324,1,1,1,,1
台北市,信義區,北府,台北市信義區松仁路162號164號1樓,25.028322,121.5682137,,1,1,1,1
台北市,信義區,北醫,台北市信義區吳興街252號,25.0269556,121.563012,1,,1,,1
台北市,信義區,北醫大,台北市信義區吳興街250號1樓,25.0260413,121.5624462,1,1,1,1,1
台北市,信義區,市捷,台北市信義區忠孝東路五段6號1樓,25.0415863,121.5650669,1,1,1,,1
台北市,信義區,市運,台北市信義區忠孝東路5段2號B1樓,25.0410127,121.5651638,1,1,1,,1
台北市,信義區,必成,台北市信義區基隆路一段178號180號1樓,25.0424254,121.5649266,1,1,1,1,1
台北市,信義區,永吉,台北市信義區永吉路217號1樓2樓及219號1樓,25.0457737,121.5739827,1,1,1,1,1
台北市,信義區,永信,台北市信義區永吉路30巷103號,25.0435002,121.5688494,1,1,1,1,1
台北市,信義區,光東,台北市信義區忠孝東路五段524巷1弄1號,25.0412425,121.5794643,1,,1,1,1
台北市,信義區,光復,台北市信義區光復南路471號,25.0337373,121.5577492,1,1,1,,1
台北市,信義區,吳興,台北市信義區吳興街284巷18弄2號,25.0246083,121.5635345,1,1,1,1,1
台北市,信義區,宏泰,台北市信義區松仁路91-1號1樓,25.0371102,121.5692285,1,1,1,1,1
